Dia,Poluentes,Indice,,,,,,,,,
17-02-17,Particulas Inalaveis,34,,,,,,,,,
20-02-17,Ozonio, Particulas Inalaveis, Particulas Inalaveis,33,14,36,,,,,
22-02-17,Ozonio, Particulas Inalaveis, Particulas Inalaveis,27,12,42,,,,,
23-02-17,Ozonio, Particulas Inalaveis, Particulas Inalaveis,28,10,35,,,,,
24-02-17,Ozonio, Particulas Inalaveis, Particulas Inalaveis,14,10,36,,,,,
23-03-17,Particulas Inalaveis, Particulas Inalaveis, Dioxido de Nitrogenio,20,12,77,,,,,
24-03-17,Particulas Inalaveis, Particulas Inalaveis,21,14,,,,,,,
27-03-17,Ozonio, Ozonio, Particulas Inalaveis,38,73,50,,,,,
28-03-17,Ozonio, Particulas Inalaveis, Particulas Inalaveis,35,14,47,,,,,
29-03-17,Ozonio, Ozonio, Particulas Inalaveis,24,25,40,,,,,
30-03-17,Ozonio, Ozonio,34,33,,,,,,,
31-03-17,Particulas Inalaveis, Particulas Inalaveis,15,48,,,,,,,
04-05-17,Ozonio, Ozonio, Ozonio,,28,31,53,,,,
05-05-17,Ozonio, Ozonio, Ozonio,,32,33,43,,,,
06-05-17,Ozonio, Ozonio, Ozonio,,50,60,49,,,,
07-05-17,Ozonio, Ozonio, Ozonio,,32,31,50,,,,
08-05-17,Ozonio, Ozonio, Ozonio,,45,53,62,,,,
09-05-17,Dioxido de Nitrogenio, Ozonio, Ozonio,,44,50,53,,,,
10-05-17,Ozonio, Ozonio, Particulas Inalaveis,,41,49,54,,,,
23-05-17,Ozonio, Particulas Inalaveis, Particulas Inalaveis,29,16,30,,,,,
24-05-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,28,13,30,,,,,
25-05-17,Ozonio, Monoxido de Carbono, Ozonio,25,11,42,,,,,
26-05-17,Ozonio, Ozonio, Ozonio,25,28,37,,,,,
29-05-17,Ozonio, Ozonio, Ozonio,28,32,48,,,,,
30-05-17,Ozonio, Ozonio, Ozonio,41,45,53,,,,,
31-05-17,Ozonio, Ozonio,50,52,,,,,,,
22-06-17,Ozonio, Ozonio, Particulas Inalaveis,40,39,50,,,,,
23-06-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,26,19,50,,,,,
26-06-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,20,13,34,,,,,
27-06-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,17,9,31,,,,,
28-06-17,Ozonio, Ozonio, Ozonio,31,32,44,,,,,
29-06-17,Ozonio, Ozonio, Ozonio,38,41,34,,,,,
30-06-17,Ozonio, Ozonio, Particulas Inalaveis,44,41,47,,,,,
14-07-17,Ozonio, Ozonio, Particulas Inalaveis,42,41,44,,,,,
17-07-17,Ozonio, Ozonio, Ozonio,42,38,40,,,,,
18-07-17,Ozonio, Dioxido de Nitrogenio, Ozonio, Particulas Inalaveis, Ozonio,,58,52,54,55,67
19-07-17,Ozonio, Ozonio, Ozonio,,57,53,67,,,,
20-07-17,Ozonio, Ozonio, Ozonio,,42,44,46,,,,
21-07-17,Ozonio, Particulas Inalaveis, Ozonio,,58,20,57,,,,
24-07-17,Ozonio, Ozonio, Particulas Inalaveis, Ozonio,,50,48,51,66,,
