,A-caso,A-obito,Ano,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,Semana,NO2,CO,O3,PTS,PI,Cluster
5,0,0,2017,1,0,0,0,3,1,26,9,12,77.0,0.0,0.0,0.0,12.0,0
6,0,0,2017,1,0,0,0,3,1,26,9,12,0.0,0.0,0.0,0.0,14.0,0
9,0,0,2017,1,0,0,0,2,0,25,1,13,0.0,0.0,25.0,0.0,40.0,0
10,0,0,2017,1,0,0,0,2,0,25,1,13,0.0,0.0,33.0,0.0,0.0,0
11,0,0,2017,1,0,0,0,2,0,25,1,13,0.0,0.0,0.0,0.0,48.0,0
20,1,0,2017,1,0,0,0,21,2,41,3,21,0.0,0.0,0.0,0.0,30.0,0
27,0,0,2017,2,1,0,0,6,1,22,0,25,0.0,0.0,0.0,0.0,50.0,0
28,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,0.0,0.0,34.0,0
29,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,0.0,0.0,31.0,0
30,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,44.0,0.0,0.0,0
31,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,34.0,0.0,0.0,0
0,0,0,2017,1,0,0,0,4,1,23,4,7,0.0,0.0,0.0,0.0,34.0,0
3,0,0,2017,0,0,0,0,2,0,17,2,8,0.0,0.0,28.0,0.0,35.0,0
4,0,0,2017,0,0,0,0,2,0,17,2,8,0.0,0.0,14.0,0.0,36.0,0
52,0,0,2018,0,0,0,0,0,0,2,0,10,0.0,0.0,33.0,0.0,16.0,0
55,1,0,2018,0,0,0,0,2,0,0,0,11,0.0,0.0,41.0,0.0,0.0,0
34,0,0,2018,0,0,0,0,0,0,10,0,3,0.0,0.0,28.0,0.0,0.0,0
35,0,0,2018,0,0,0,0,0,0,10,0,3,0.0,0.0,0.0,0.0,34.0,0
36,0,0,2018,0,0,0,0,1,0,12,0,4,0.0,0.0,38.0,0.0,0.0,0
37,0,0,2018,0,0,0,0,1,0,12,0,4,0.0,0.0,35.0,0.0,0.0,0
38,0,0,2018,0,0,0,0,1,0,12,0,4,0.0,0.0,23.0,0.0,0.0,0
39,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,21.0,0.0,28.0,0
40,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,21.0,0.0,21.0,0
41,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,20.0,0.0,18.0,0
42,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,21.0,0.0,21.0,0
