,A-caso,A-obito,Ano,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,Semana,NO2,CO,O3,PTS,PI,Cluster
12,3,2,2017,1,0,0,0,17,3,54,5,18,0.0,0.0,53.0,0.0,0.0,2
13,3,2,2017,1,0,0,0,17,3,54,5,18,0.0,0.0,43.0,0.0,0.0,2
14,3,2,2017,1,0,0,0,17,3,54,5,18,0.0,0.0,49.0,0.0,0.0,2
15,3,2,2017,1,0,0,0,17,3,54,5,18,0.0,0.0,50.0,0.0,0.0,2
16,0,0,2017,0,0,0,0,11,2,50,5,19,0.0,0.0,62.0,0.0,0.0,2
21,1,0,2017,1,0,0,0,21,2,41,3,21,0.0,11.0,42.0,0.0,0.0,2
22,1,0,2017,1,0,0,0,21,2,41,3,21,0.0,0.0,37.0,0.0,0.0,2
23,2,0,2017,1,1,0,0,13,1,51,5,22,0.0,0.0,48.0,0.0,0.0,2
24,2,0,2017,1,1,0,0,13,1,51,5,22,0.0,0.0,53.0,0.0,0.0,2
25,2,0,2017,1,1,0,0,13,1,51,5,22,0.0,0.0,52.0,0.0,0.0,2
