,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
7,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,73,0,50,1
8,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,35,0,47,1
9,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,25,0,40,1
11,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,0,0,48,1
18,2017,19,0,0,0,0,0,0,11,2,50,5,0,0,49,0,54,1
26,2017,25,0,0,2,1,0,0,6,1,22,0,0,0,39,0,50,1
27,2017,25,0,0,2,1,0,0,6,1,22,0,0,0,0,0,50,1
28,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,34,1
29,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,31,1
32,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,41,0,47,1
33,2017,28,1,0,0,0,0,0,0,0,0,0,0,0,41,0,44,1
0,2017,7,0,0,1,0,0,0,4,1,23,4,0,0,0,0,34,1
1,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,33,0,36,1
2,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,27,0,42,1
3,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,28,0,35,1
4,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,14,0,36,1
48,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,51,0,26,1
49,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,47,0,69,1
50,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,39,0,24,1
51,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,41,0,29,1
52,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,33,0,16,1
53,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,69,0,21,1
54,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,64,0,43,1
56,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,58,0,42,1
57,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,34,0,57,1
35,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,34,1
39,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,28,1
40,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,21,1
41,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,20,0,18,1
42,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,21,1
43,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,39,0,22,1
44,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,35,0,30,1
45,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,43,0,34,1
46,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,65,0,36,1
47,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,71,0,49,1
,,Soma=,8,0,9,2,0,0,70,5,376,24,0,0,1177,0,1298,
,,Média=,0.228571429,0,0.257142857,0.057142857,0,0,2,0.142857143,10.74285714,0.685714286,0,0,33.62857143,0,37.08571429,
